,election.year.calendar,position.label,province.name,province.code,Mujer,Varón,n/d
0,1983,Gobernador/a,BUENOS AIRES,1,7.142857142857142,92.85714285714286,0.0
1,1983,Gobernador/a,CATAMARCA,2,9.090909090909092,90.9090909090909,0.0
2,1983,Gobernador/a,CHACO,3,0.0,100.0,0.0
3,1983,Gobernador/a,CHUBUT,4,0.0,100.0,0.0
4,1983,Gobernador/a,CORDOBA,5,0.0,100.0,0.0
5,1983,Gobernador/a,CORRIENTES,6,0.0,100.0,0.0
6,1983,Gobernador/a,ENTRE RIOS,7,0.0,100.0,0.0
7,1983,Gobernador/a,FORMOSA,8,0.0,100.0,0.0
8,1983,Gobernador/a,JUJUY,9,11.11111111111111,88.88888888888889,0.0
9,1983,Gobernador/a,LA PAMPA,10,0.0,100.0,0.0
10,1983,Gobernador/a,LA RIOJA,11,0.0,100.0,0.0
11,1983,Gobernador/a,MENDOZA,12,0.0,100.0,0.0
12,1983,Gobernador/a,MISIONES,13,0.0,100.0,0.0
13,1983,Gobernador/a,NEUQUEN,14,0.0,100.0,0.0
14,1983,Gobernador/a,RIO NEGRO,15,9.090909090909092,90.9090909090909,0.0
15,1983,Gobernador/a,SALTA,16,10.0,90.0,0.0
16,1983,Gobernador/a,SAN JUAN,17,0.0,100.0,0.0
17,1983,Gobernador/a,SAN LUIS,18,0.0,100.0,0.0
18,1983,Gobernador/a,SANTA CRUZ,19,14.285714285714285,85.71428571428571,0.0
19,1983,Gobernador/a,SANTA FE,20,0.0,100.0,0.0
20,1983,Gobernador/a,SANTIAGO DEL ESTERO,21,0.0,100.0,0.0
21,1983,Gobernador/a,TUCUMAN,23,0.0,100.0,0.0
22,1983,Vicebogernador/a,BUENOS AIRES,1,21.428571428571427,78.57142857142857,0.0
23,1983,Vicebogernador/a,CATAMARCA,2,0.0,100.0,0.0
24,1983,Vicebogernador/a,CHACO,3,20.0,80.0,0.0
25,1983,Vicebogernador/a,CHUBUT,4,0.0,100.0,0.0
26,1983,Vicebogernador/a,CORDOBA,5,10.0,90.0,0.0
27,1983,Vicebogernador/a,CORRIENTES,6,0.0,100.0,0.0
28,1983,Vicebogernador/a,ENTRE RIOS,7,12.5,87.5,0.0
29,1983,Vicebogernador/a,FORMOSA,8,0.0,100.0,0.0
30,1983,Vicebogernador/a,JUJUY,9,22.22222222222222,77.77777777777779,0.0
31,1983,Vicebogernador/a,LA PAMPA,10,12.5,87.5,0.0
32,1983,Vicebogernador/a,LA RIOJA,11,0.0,100.0,0.0
33,1983,Vicebogernador/a,MENDOZA,12,16.666666666666664,83.33333333333334,0.0
34,1983,Vicebogernador/a,MISIONES,13,0.0,100.0,0.0
35,1983,Vicebogernador/a,NEUQUEN,14,14.285714285714285,85.71428571428571,0.0
36,1983,Vicebogernador/a,RIO NEGRO,15,,,11.0
37,1983,Vicebogernador/a,SALTA,16,0.0,100.0,0.0
38,1983,Vicebogernador/a,SAN JUAN,17,8.333333333333332,91.66666666666666,0.0
39,1983,Vicebogernador/a,SAN LUIS,18,,,4.0
40,1983,Vicebogernador/a,SANTA CRUZ,19,0.0,100.0,0.0
41,1983,Vicebogernador/a,SANTA FE,20,30.76923076923077,69.23076923076923,0.0
42,1983,Vicebogernador/a,SANTIAGO DEL ESTERO,21,,,9.0
43,1983,Vicebogernador/a,TUCUMAN,23,,,15.0
44,1987,Gobernador/a,BUENOS AIRES,1,7.142857142857142,92.85714285714286,0.0
45,1987,Gobernador/a,CATAMARCA,2,0.0,100.0,0.0
46,1987,Gobernador/a,CHACO,3,0.0,100.0,0.0
47,1987,Gobernador/a,CHUBUT,4,0.0,100.0,0.0
48,1987,Gobernador/a,CORDOBA,5,0.0,100.0,0.0
49,1987,Gobernador/a,CORRIENTES,6,0.0,100.0,1.0
50,1987,Gobernador/a,ENTRE RIOS,7,0.0,100.0,0.0
51,1987,Gobernador/a,FORMOSA,8,0.0,100.0,3.0
52,1987,Gobernador/a,JUJUY,9,0.0,100.0,1.0
53,1987,Gobernador/a,LA PAMPA,10,0.0,100.0,0.0
54,1987,Gobernador/a,LA RIOJA,11,0.0,100.0,1.0
55,1987,Gobernador/a,MENDOZA,12,0.0,100.0,0.0
56,1987,Gobernador/a,MISIONES,13,0.0,100.0,0.0
57,1987,Gobernador/a,NEUQUEN,14,11.11111111111111,88.88888888888889,0.0
58,1987,Gobernador/a,RIO NEGRO,15,0.0,100.0,0.0
59,1987,Gobernador/a,SALTA,16,14.285714285714285,85.71428571428571,0.0
60,1987,Gobernador/a,SAN JUAN,17,10.0,90.0,0.0
61,1987,Gobernador/a,SAN LUIS,18,0.0,100.0,0.0
62,1987,Gobernador/a,SANTA CRUZ,19,28.57142857142857,71.42857142857143,0.0
63,1987,Gobernador/a,SANTA FE,20,0.0,100.0,0.0
64,1987,Gobernador/a,SANTIAGO DEL ESTERO,21,0.0,100.0,0.0
65,1987,Gobernador/a,TUCUMAN,23,7.6923076923076925,92.3076923076923,0.0
66,1987,Vicebogernador/a,BUENOS AIRES,1,7.142857142857142,92.85714285714286,0.0
67,1987,Vicebogernador/a,CATAMARCA,2,10.0,90.0,0.0
68,1987,Vicebogernador/a,CHACO,3,25.0,75.0,0.0
69,1987,Vicebogernador/a,CHUBUT,4,36.36363636363637,63.63636363636363,0.0
70,1987,Vicebogernador/a,CORDOBA,5,10.0,90.0,0.0
71,1987,Vicebogernador/a,CORRIENTES,6,11.11111111111111,88.88888888888889,2.0
72,1987,Vicebogernador/a,ENTRE RIOS,7,12.5,87.5,0.0
73,1987,Vicebogernador/a,FORMOSA,8,20.0,80.0,3.0
74,1987,Vicebogernador/a,JUJUY,9,30.0,70.0,1.0
75,1987,Vicebogernador/a,LA PAMPA,10,0.0,100.0,0.0
76,1987,Vicebogernador/a,LA RIOJA,11,12.5,87.5,0.0
77,1987,Vicebogernador/a,MENDOZA,12,30.0,70.0,0.0
78,1987,Vicebogernador/a,MISIONES,13,11.11111111111111,88.88888888888889,0.0
79,1987,Vicebogernador/a,NEUQUEN,14,11.11111111111111,88.88888888888889,0.0
80,1987,Vicebogernador/a,RIO NEGRO,15,,,9.0
81,1987,Vicebogernador/a,SALTA,16,0.0,100.0,0.0
82,1987,Vicebogernador/a,SAN JUAN,17,20.0,80.0,0.0
83,1987,Vicebogernador/a,SAN LUIS,18,0.0,100.0,0.0
84,1987,Vicebogernador/a,SANTA CRUZ,19,14.285714285714285,85.71428571428571,0.0
85,1987,Vicebogernador/a,SANTA FE,20,21.428571428571427,78.57142857142857,0.0
86,1987,Vicebogernador/a,SANTIAGO DEL ESTERO,21,12.5,87.5,0.0
87,1987,Vicebogernador/a,TUCUMAN,23,,,13.0
88,1988,Gobernador/a,CATAMARCA,2,0.0,100.0,0.0
89,1988,Vicebogernador/a,CATAMARCA,2,,,11.0
90,1991,Gobernador/a,BUENOS AIRES,1,0.0,100.0,0.0
91,1991,Gobernador/a,CATAMARCA,2,14.285714285714285,85.71428571428571,0.0
92,1991,Gobernador/a,CHACO,3,0.0,100.0,0.0
93,1991,Gobernador/a,CHUBUT,4,0.0,100.0,0.0
94,1991,Gobernador/a,CORDOBA,5,8.333333333333332,91.66666666666666,0.0
95,1991,Gobernador/a,CORRIENTES,6,0.0,100.0,0.0
96,1991,Gobernador/a,ENTRE RIOS,7,0.0,100.0,0.0
97,1991,Gobernador/a,FORMOSA,8,0.0,100.0,0.0
98,1991,Gobernador/a,JUJUY,9,0.0,100.0,0.0
99,1991,Gobernador/a,LA PAMPA,10,0.0,100.0,0.0
100,1991,Gobernador/a,LA RIOJA,11,0.0,100.0,0.0
101,1991,Gobernador/a,MENDOZA,12,0.0,100.0,0.0
102,1991,Gobernador/a,MISIONES,13,0.0,100.0,0.0
103,1991,Gobernador/a,NEUQUEN,14,0.0,100.0,0.0
104,1991,Gobernador/a,RIO NEGRO,15,0.0,100.0,0.0
105,1991,Gobernador/a,SALTA,16,13.333333333333334,86.66666666666667,0.0
106,1991,Gobernador/a,SAN JUAN,17,0.0,100.0,0.0
107,1991,Gobernador/a,SAN LUIS,18,9.090909090909092,90.9090909090909,0.0
108,1991,Gobernador/a,SANTA CRUZ,19,14.285714285714285,85.71428571428571,0.0
109,1991,Gobernador/a,SANTA FE,20,0.0,100.0,0.0
110,1991,Gobernador/a,SANTIAGO DEL ESTERO,21,0.0,100.0,0.0
111,1991,Gobernador/a,TIERRA DEL FUEGO,22,14.285714285714285,85.71428571428571,2.0
112,1991,Gobernador/a,TUCUMAN,23,10.0,90.0,0.0
113,1991,Vicebogernador/a,BUENOS AIRES,1,25.0,75.0,0.0
114,1991,Vicebogernador/a,CATAMARCA,2,14.285714285714285,85.71428571428571,0.0
115,1991,Vicebogernador/a,CHACO,3,0.0,100.0,0.0
116,1991,Vicebogernador/a,CHUBUT,4,13.333333333333334,86.66666666666667,0.0
117,1991,Vicebogernador/a,CORDOBA,5,41.66666666666667,58.333333333333336,0.0
118,1991,Vicebogernador/a,CORRIENTES,6,25.0,75.0,0.0
119,1991,Vicebogernador/a,ENTRE RIOS,7,33.33333333333333,66.66666666666666,0.0
120,1991,Vicebogernador/a,FORMOSA,8,21.428571428571427,78.57142857142857,0.0
121,1991,Vicebogernador/a,JUJUY,9,7.6923076923076925,92.3076923076923,0.0
122,1991,Vicebogernador/a,LA PAMPA,10,0.0,100.0,0.0
123,1991,Vicebogernador/a,LA RIOJA,11,11.11111111111111,88.88888888888889,1.0
124,1991,Vicebogernador/a,MENDOZA,12,30.0,70.0,0.0
125,1991,Vicebogernador/a,MISIONES,13,0.0,100.0,0.0
126,1991,Vicebogernador/a,NEUQUEN,14,28.57142857142857,71.42857142857143,0.0
127,1991,Vicebogernador/a,RIO NEGRO,15,28.57142857142857,71.42857142857143,0.0
128,1991,Vicebogernador/a,SALTA,16,6.666666666666667,93.33333333333333,0.0
129,1991,Vicebogernador/a,SAN JUAN,17,12.5,87.5,0.0
130,1991,Vicebogernador/a,SAN LUIS,18,9.090909090909092,90.9090909090909,0.0
131,1991,Vicebogernador/a,SANTA CRUZ,19,0.0,100.0,0.0
132,1991,Vicebogernador/a,SANTA FE,20,13.333333333333334,86.66666666666667,0.0
133,1991,Vicebogernador/a,SANTIAGO DEL ESTERO,21,22.22222222222222,77.77777777777779,0.0
134,1991,Vicebogernador/a,TIERRA DEL FUEGO,22,0.0,100.0,2.0
135,1991,Vicebogernador/a,TUCUMAN,23,10.0,90.0,0.0
136,1993,Gobernador/a,CORRIENTES,6,14.285714285714285,85.71428571428571,0.0
137,1993,Vicebogernador/a,CORRIENTES,6,14.285714285714285,85.71428571428571,0.0
138,1995,Gobernador/a,BUENOS AIRES,1,0.0,100.0,0.0
139,1995,Gobernador/a,CATAMARCA,2,0.0,100.0,0.0
140,1995,Gobernador/a,CHACO,3,0.0,100.0,0.0
141,1995,Gobernador/a,CHUBUT,4,16.666666666666664,83.33333333333334,0.0
142,1995,Gobernador/a,CORDOBA,5,0.0,100.0,0.0
143,1995,Gobernador/a,ENTRE RIOS,7,0.0,100.0,0.0
144,1995,Gobernador/a,FORMOSA,8,0.0,100.0,0.0
145,1995,Gobernador/a,JUJUY,9,0.0,100.0,0.0
146,1995,Gobernador/a,LA PAMPA,10,0.0,100.0,0.0
147,1995,Gobernador/a,LA RIOJA,11,0.0,100.0,0.0
148,1995,Gobernador/a,MENDOZA,12,16.666666666666664,83.33333333333334,0.0
149,1995,Gobernador/a,MISIONES,13,0.0,100.0,0.0
150,1995,Gobernador/a,NEUQUEN,14,0.0,100.0,0.0
151,1995,Gobernador/a,RIO NEGRO,15,0.0,100.0,0.0
152,1995,Gobernador/a,SALTA,16,11.11111111111111,88.88888888888889,0.0
153,1995,Gobernador/a,SAN JUAN,17,8.333333333333332,91.66666666666666,0.0
154,1995,Gobernador/a,SAN LUIS,18,25.0,75.0,0.0
155,1995,Gobernador/a,SANTA CRUZ,19,0.0,100.0,0.0
156,1995,Gobernador/a,SANTA FE,20,0.0,100.0,0.0
157,1995,Gobernador/a,SANTIAGO DEL ESTERO,21,0.0,100.0,0.0
158,1995,Gobernador/a,TIERRA DEL FUEGO,22,0.0,100.0,0.0
159,1995,Gobernador/a,TUCUMAN,23,33.33333333333333,66.66666666666666,0.0
160,1995,Vicebogernador/a,BUENOS AIRES,1,6.666666666666667,93.33333333333333,0.0
161,1995,Vicebogernador/a,CATAMARCA,2,10.0,90.0,0.0
162,1995,Vicebogernador/a,CHACO,3,25.0,75.0,0.0
163,1995,Vicebogernador/a,CHUBUT,4,0.0,100.0,0.0
164,1995,Vicebogernador/a,CORDOBA,5,0.0,100.0,0.0
165,1995,Vicebogernador/a,ENTRE RIOS,7,16.666666666666664,83.33333333333334,0.0
166,1995,Vicebogernador/a,FORMOSA,8,25.0,75.0,0.0
167,1995,Vicebogernador/a,JUJUY,9,9.090909090909092,90.9090909090909,1.0
168,1995,Vicebogernador/a,LA PAMPA,10,12.5,87.5,0.0
169,1995,Vicebogernador/a,LA RIOJA,11,0.0,100.0,0.0
170,1995,Vicebogernador/a,MENDOZA,12,33.33333333333333,66.66666666666666,0.0
171,1995,Vicebogernador/a,MISIONES,13,33.33333333333333,66.66666666666666,0.0
172,1995,Vicebogernador/a,NEUQUEN,14,33.33333333333333,66.66666666666666,6.0
173,1995,Vicebogernador/a,RIO NEGRO,15,20.0,80.0,0.0
174,1995,Vicebogernador/a,SALTA,16,0.0,100.0,0.0
175,1995,Vicebogernador/a,SAN JUAN,17,8.333333333333332,91.66666666666666,0.0
176,1995,Vicebogernador/a,SAN LUIS,18,0.0,100.0,0.0
177,1995,Vicebogernador/a,SANTA CRUZ,19,33.33333333333333,66.66666666666666,0.0
178,1995,Vicebogernador/a,SANTA FE,20,10.0,90.0,0.0
179,1995,Vicebogernador/a,SANTIAGO DEL ESTERO,21,20.0,80.0,0.0
180,1995,Vicebogernador/a,TIERRA DEL FUEGO,22,50.0,50.0,0.0
181,1995,Vicebogernador/a,TUCUMAN,23,11.11111111111111,88.88888888888889,0.0
182,1996,Gobernador/a,CABA,24,30.0,70.0,0.0
183,1996,Vicebogernador/a,CABA,24,40.0,60.0,0.0
184,1997,Gobernador/a,CORRIENTES,6,0.0,100.0,0.0
185,1997,Vicebogernador/a,CORRIENTES,6,20.0,80.0,0.0
186,1999,Gobernador/a,BUENOS AIRES,1,37.5,62.5,0.0
187,1999,Gobernador/a,CATAMARCA,2,14.285714285714285,85.71428571428571,0.0
188,1999,Gobernador/a,CHACO,3,0.0,100.0,0.0
189,1999,Gobernador/a,CHUBUT,4,0.0,100.0,0.0
190,1999,Gobernador/a,CORDOBA,5,11.11111111111111,88.88888888888889,0.0
191,1999,Gobernador/a,ENTRE RIOS,7,0.0,100.0,0.0
192,1999,Gobernador/a,FORMOSA,8,0.0,100.0,0.0
193,1999,Gobernador/a,JUJUY,9,16.666666666666664,83.33333333333334,0.0
194,1999,Gobernador/a,LA PAMPA,10,0.0,100.0,0.0
195,1999,Gobernador/a,LA RIOJA,11,0.0,100.0,0.0
196,1999,Gobernador/a,MENDOZA,12,20.0,80.0,0.0
197,1999,Gobernador/a,MISIONES,13,0.0,100.0,0.0
198,1999,Gobernador/a,NEUQUEN,14,28.57142857142857,71.42857142857143,0.0
199,1999,Gobernador/a,RIO NEGRO,15,0.0,100.0,0.0
200,1999,Gobernador/a,SALTA,16,0.0,100.0,0.0
201,1999,Gobernador/a,SAN JUAN,17,0.0,100.0,0.0
202,1999,Gobernador/a,SAN LUIS,18,0.0,100.0,0.0
203,1999,Gobernador/a,SANTA CRUZ,19,0.0,100.0,0.0
204,1999,Gobernador/a,SANTA FE,20,11.11111111111111,88.88888888888889,0.0
205,1999,Gobernador/a,SANTIAGO DEL ESTERO,21,0.0,100.0,0.0
206,1999,Gobernador/a,TIERRA DEL FUEGO,22,25.0,75.0,0.0
207,1999,Gobernador/a,TUCUMAN,23,0.0,100.0,3.0
208,1999,Vicebogernador/a,BUENOS AIRES,1,25.0,75.0,0.0
209,1999,Vicebogernador/a,CATAMARCA,2,14.285714285714285,85.71428571428571,0.0
210,1999,Vicebogernador/a,CHACO,3,33.33333333333333,66.66666666666666,0.0
211,1999,Vicebogernador/a,CHUBUT,4,25.0,75.0,0.0
212,1999,Vicebogernador/a,CORDOBA,5,44.44444444444444,55.55555555555556,0.0
213,1999,Vicebogernador/a,ENTRE RIOS,7,33.33333333333333,66.66666666666666,0.0
214,1999,Vicebogernador/a,FORMOSA,8,16.666666666666664,83.33333333333334,0.0
215,1999,Vicebogernador/a,JUJUY,9,0.0,100.0,0.0
216,1999,Vicebogernador/a,LA PAMPA,10,33.33333333333333,66.66666666666666,0.0
217,1999,Vicebogernador/a,LA RIOJA,11,0.0,100.0,0.0
218,1999,Vicebogernador/a,MENDOZA,12,20.0,80.0,0.0
219,1999,Vicebogernador/a,MISIONES,13,66.66666666666666,33.33333333333333,0.0
220,1999,Vicebogernador/a,NEUQUEN,14,28.57142857142857,71.42857142857143,0.0
221,1999,Vicebogernador/a,RIO NEGRO,15,25.0,75.0,0.0
222,1999,Vicebogernador/a,SALTA,16,20.0,80.0,0.0
223,1999,Vicebogernador/a,SAN JUAN,17,0.0,100.0,0.0
224,1999,Vicebogernador/a,SAN LUIS,18,50.0,50.0,1.0
225,1999,Vicebogernador/a,SANTA CRUZ,19,50.0,50.0,1.0
226,1999,Vicebogernador/a,SANTA FE,20,11.11111111111111,88.88888888888889,0.0
227,1999,Vicebogernador/a,SANTIAGO DEL ESTERO,21,20.0,80.0,0.0
228,1999,Vicebogernador/a,TIERRA DEL FUEGO,22,0.0,100.0,0.0
229,1999,Vicebogernador/a,TUCUMAN,23,0.0,100.0,4.0
230,2000,Gobernador/a,CABA,24,46.15384615384615,53.84615384615385,0.0
231,2000,Vicebogernador/a,CABA,24,15.384615384615385,84.61538461538461,0.0
232,2001,Gobernador/a,CORRIENTES,6,16.666666666666664,83.33333333333334,0.0
233,2001,Vicebogernador/a,CORRIENTES,6,16.666666666666664,83.33333333333334,0.0
234,2002,Gobernador/a,SANTIAGO DEL ESTERO,21,0.0,100.0,0.0
235,2002,Vicebogernador/a,SANTIAGO DEL ESTERO,21,66.66666666666666,33.33333333333333,0.0
236,2003,Gobernador/a,BUENOS AIRES,1,11.11111111111111,88.88888888888889,0.0
237,2003,Gobernador/a,CABA,24,33.33333333333333,66.66666666666666,0.0
238,2003,Gobernador/a,CATAMARCA,2,28.57142857142857,71.42857142857143,0.0
239,2003,Gobernador/a,CHACO,3,0.0,100.0,0.0
240,2003,Gobernador/a,CHUBUT,4,0.0,100.0,0.0
241,2003,Gobernador/a,CORDOBA,5,22.22222222222222,77.77777777777779,0.0
242,2003,Gobernador/a,ENTRE RIOS,7,0.0,100.0,0.0
243,2003,Gobernador/a,FORMOSA,8,0.0,100.0,0.0
244,2003,Gobernador/a,JUJUY,9,11.11111111111111,88.88888888888889,0.0
245,2003,Gobernador/a,LA PAMPA,10,0.0,100.0,0.0
